DATE,BOROUGH,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS STREET NAME,OFF STREET NAME,CONTRIBUTINGFACTOR,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1
9/1/2019,BRONX,40.823074,-73.8918,POINT (-73.8918 40.823074),SOUTHERN BOULEVARD              ,ALDUS STREET,,Unspecified,Unspecified,,,,4198176,Station Wagon/Sport Utility Vehicle
9/1/2019,BROOKLYN,40.577477,-73.968285,POINT (-73.968285 40.577477),,,3000      OCEAN PARKWAY                 ,Unspecified,Unspecified,,,,4198289,Sedan
9/1/2019,BROOKLYN,40.651535,-73.93494,POINT (-73.93494 40.651535),,,4521      CHURCH AVENUE                 ,Driver Inattention/Distraction,Unspecified,,,,4198007,Station Wagon/Sport Utility Vehicle
9/1/2019,BRONX,40.834934,-73.845436,POINT (-73.845436 40.834934),WATERBURY AVENUE                ,ZEREGA AVENUE,,Unspecified,Unspecified,,,,4198246,Sedan
9/1/2019,QUEENS,40.752563,-73.90526,POINT (-73.90526 40.752563),BROADWAY                        ,56 STREET,,Alcohol Involvement,Unspecified,,,,4198899,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.696552,-73.85929,POINT (-73.85929 40.696552),PARK LANE SOUTH                 ,,,Driver Inattention/Distraction,Following Too Closely,,,,4200086,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.71894,-73.78215,POINT (-73.78215 40.71894),,,84-40     AVON STREET                   ,Unspecified,,,,,4199438,Sedan
9/1/2019,QUEENS,40.741764,-73.8809,POINT (-73.8809 40.741764),,,82-75     BROADWAY                      ,Passing Too Closely,Unspecified,,,,4197937,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.683094,-73.80596,POINT (-73.80596 40.683094),VAN WYCK EXPWY                  ,,,Unspecified,,,,,4201642,Sedan
9/1/2019,BROOKLYN,40.62375,-73.92423,POINT (-73.92423 40.62375),,,5314      AVENUE L                      ,Driver Inattention/Distraction,Unspecified,,,,4198951,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.885952,-73.8279,POINT (-73.8279 40.885952),CONNER STREET                   ,,,Turning Improperly,Unspecified,,,,4197955,Sedan
9/1/2019,MANHATTAN,40.80209,-73.955826,POINT (-73.955826 40.80209),,,273       WEST 113 STREET               ,Oversized Vehicle,Unspecified,,,,4199223,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.61427,-74.156654,POINT (-74.156654 40.61427),STATEN ISLAND EXPRESSWAY        ,,,Following Too Closely,Unspecified,,,,4204118,Sedan
9/1/2019,,,,,BROOKLYN QUEENS EXPRESSWAY RAMP ,,,Unspecified,Unspecified,,,,4198590,Station Wagon/Sport Utility Vehicle
9/1/2019,BRONX,40.806076,-73.92564,POINT (-73.92564 40.806076),,,85        BRUCKNER BOULEVARD            ,Following Too Closely,Unspecified,,,,4198251,Station Wagon/Sport Utility Vehicle
9/1/2019,,,,,BRONX WHITESTONE BRIDGE         ,,,Following Too Closely,Unspecified,,,,4198610,Station Wagon/Sport Utility Vehicle
9/1/2019,BROOKLYN,40.723537,-73.94668,POINT (-73.94668 40.723537),,,19        NEWEL STREET                  ,Passing or Lane Usage Improper,Unspecified,,,,4198793,PK
9/1/2019,,40.841843,-73.94539,POINT (-73.94539 40.841843),HENRY HUDSON PARKWAY            ,,,Failure to Yield Right-of-Way,Unspecified,,,,4198092,Sedan
9/1/2019,QUEENS,40.762424,-73.831665,POINT (-73.831665 40.762424),,,36-38     MAIN STREET                   ,Obstruction/Debris,Unspecified,,,,4198611,Sedan
9/1/2019,MANHATTAN,40.86769,-73.92122,POINT (-73.92122 40.86769),BROADWAY                        ,WEST 207 STREET,,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4198431,Sedan
9/1/2019,,40.622948,-73.9109,POINT (-73.9109 40.622948),AVENUE N                        ,,,Unspecified,,,,,4199268,Sedan
9/1/2019,QUEENS,40.70261,-73.87257,POINT (-73.87257 40.70261),MYRTLE AVENUE                   ,76 STREET,,Unspecified,Unspecified,,,,4197989,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.661438,-73.73192,POINT (-73.73192 40.661438),,,251-06    FRANCIS LEWIS BOULEVARD       ,Driver Inattention/Distraction,Unspecified,,,,4197899,Sedan
9/1/2019,BROOKLYN,40.672615,-74.0006,POINT (-74.0006 40.672615),COURT STREET                    ,LORRAINE STREET,,Failure to Yield Right-of-Way,Unspecified,,,,4198192,Station Wagon/Sport Utility Vehicle
9/1/2019,BRONX,40.882496,-73.86989,POINT (-73.86989 40.882496),,,3560      WEBSTER AVENUE                ,Passing Too Closely,Unspecified,,,,4202258,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.745754,-73.73044,POINT (-73.73044 40.745754),GRAND CENTRAL PKWY              ,,,Other Vehicular,Following Too Closely,,,,4197910,Station Wagon/Sport Utility Vehicle
9/1/2019,BROOKLYN,40.67587,-73.88478,POINT (-73.88478 40.67587),,,361       CLEVELAND STREET              ,Unspecified,Unspecified,,,,4199365,Sedan
9/1/2019,BROOKLYN,40.624897,-74.006256,POINT (-74.006256 40.624897),,,6914      12 AVENUE                     ,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4198435,Sedan
9/1/2019,,40.85045,-73.93667,POINT (-73.93667 40.85045),BENNETT AVENUE                  ,,,Driver Inattention/Distraction,Unspecified,,,,4198427,Sedan
9/1/2019,BRONX,40.866837,-73.9037,POINT (-73.9037 40.866837),,,2550      WEBB AVENUE                   ,Unspecified,,,,,4199263,Sedan
9/1/2019,BROOKLYN,40.628025,-73.89867,POINT (-73.89867 40.628025),SEAVIEW AVENUE                  ,EAST 85 STREET,,Driver Inattention/Distraction,Unspecified,,,,4197826,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.73296,-73.775894,POINT (-73.775894 40.73296),75 AVENUE                       ,196 STREET,,Driver Inattention/Distraction,Unspecified,,,,4198036,Station Wagon/Sport Utility Vehicle
9/1/2019,BRONX,40.854675,-73.88529,POINT (-73.88529 40.854675),,,2403      CAMBRELENG AVENUE             ,Driver Inattention/Distraction,Unspecified,,,,4198772,Motorcycle
9/1/2019,BROOKLYN,40.637634,-73.95205,POINT (-73.95205 40.637634),,,521       EAST 26 STREET                ,Driver Inattention/Distraction,Unspecified,,,,4198956,Sedan
9/1/2019,BROOKLYN,40.685085,-73.92948,POINT (-73.92948 40.685085),,,229       REID AVENUE                   ,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4199088,Sedan
9/1/2019,BROOKLYN,40.63223,-74.011856,POINT (-74.011856 40.63223),,,823       65 STREET                     ,Driver Inattention/Distraction,Unspecified,,,,4197957,Station Wagon/Sport Utility Vehicle
9/1/2019,MANHATTAN,40.77039,-73.954124,POINT (-73.954124 40.77039),1 AVENUE                        ,EAST 76 STREET,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4198644,Bike
9/1/2019,,40.730057,-73.999374,POINT (-73.999374 40.730057),SULLIVAN STREET                 ,,,Passing Too Closely,Unspecified,,,,4198827,Sedan
9/1/2019,BROOKLYN,40.67911,-73.880615,POINT (-73.880615 40.67911),ATLANTIC AVENUE                 ,HIGHLAND PLACE,,Unspecified,Unspecified,,,,4199340,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.575512,-73.98241,POINT (-73.98241 40.575512),SURF AVENUE                     ,,,Other Vehicular,Unspecified,,,,4198292,Sedan
9/1/2019,BROOKLYN,40.687428,-73.95305,POINT (-73.95305 40.687428),,,214       LEXINGTON AVENUE              ,Driver Inattention/Distraction,Unspecified,,,,4203128,Sedan
9/1/2019,QUEENS,40.60071,-73.75376,POINT (-73.75376 40.60071),BEACH 20 STREET                 ,NEW HAVEN AVENUE,,Unspecified,,,,,4201143,Station Wagon/Sport Utility Vehicle
9/1/2019,MANHATTAN,40.752895,-73.98925,POINT (-73.98925 40.752895),7 AVENUE                        ,WEST 37 STREET,,Failure to Yield Right-of-Way,,,,,4198395,Bike
9/1/2019,,,,,NEW ENGLAND THRUWAY             ,,,Driver Inattention/Distraction,Unspecified,,,,4198032,Sedan
9/1/2019,BROOKLYN,40.708466,-73.94676,POINT (-73.94676 40.708466),SCHOLES STREET                  ,LEONARD STREET,,Turning Improperly,Unspecified,,,,4198833,Taxi
9/1/2019,QUEENS,40.759483,-73.904564,POINT (-73.904564 40.759483),57 STREET                       ,30 AVENUE,,Unspecified,,,,,4198217,Station Wagon/Sport Utility Vehicle
9/1/2019,BRONX,40.835705,-73.88875,POINT (-73.88875 40.835705),SOUTHERN BOULEVARD              ,EAST 173 STREET,,Passing or Lane Usage Improper,Unspecified,,,,4198194,Station Wagon/Sport Utility Vehicle
9/1/2019,,,,,35 AVENUE                       ,CLEARVIEW EXPRESSWAY,,Unspecified,Unspecified,,,,4198070,Station Wagon/Sport Utility Vehicle
9/1/2019,,,,,VERRAZANO BRIDGE LOWER          ,,,Following Too Closely,Unspecified,,,,4198447,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.762836,-73.805405,POINT (-73.805405 40.762836),,,160-06    NORTHERN BOULEVARD            ,Backing Unsafely,Unspecified,,,,4198605,Sedan
9/1/2019,,40.63692,-73.93752,POINT (-73.93752 40.63692),FARRAGUT ROAD                   ,,,Following Too Closely,Unspecified,,,,4198029,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.70969,-73.84603,POINT (-73.84603 40.70969),METROPOLITAN AVENUE             ,,,Following Too Closely,Unspecified,,,,4197990,Station Wagon/Sport Utility Vehicle
9/1/2019,BROOKLYN,40.604748,-73.99686,POINT (-73.99686 40.604748),,,2029      85 STREET                     ,Unspecified,,,,,4198596,Sedan
9/1/2019,QUEENS,40.747955,-73.86016,POINT (-73.86016 40.747955),,,104-76    43 AVENUE                     ,Driver Inattention/Distraction,Unspecified,,,,4197964,Sedan
9/1/2019,BROOKLYN,40.6154,-74.0306,POINT (-74.0306 40.6154),,,428       95 STREET                     ,Driver Inattention/Distraction,Unspecified,,,,4197958,Sedan
9/1/2019,BROOKLYN,40.590572,-73.93999,POINT (-73.93999 40.590572),,,3823      NOSTRAND AVENUE               ,Driver Inattention/Distraction,Unspecified,,,,4198378,Sedan
9/1/2019,QUEENS,40.7168,-73.78723,POINT (-73.78723 40.7168),EDGERTON BOULEVARD              ,HENLEY ROAD,,Driver Inattention/Distraction,Unspecified,,,,4198037,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.69939,-73.91938,POINT (-73.91938 40.69939),HARMAN STREET                   ,,,Passing Too Closely,Unspecified,,,,4198865,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.654984,-73.7284,POINT (-73.7284 40.654984),,,259-31    148 AVENUE                    ,Passing Too Closely,Unspecified,,,,4200351,Station Wagon/Sport Utility Vehicle
9/1/2019,BROOKLYN,40.7145,-73.957565,POINT (-73.957565 40.7145),ROEBLING STREET                 ,METROPOLITAN AVENUE,,Turning Improperly,Unspecified,,,,4198766,Station Wagon/Sport Utility Vehicle
9/1/2019,BROOKLYN,40.61822,-73.96293,POINT (-73.96293 40.61822),,,1280      EAST 12 STREET                ,Unspecified,,,,,4198126,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.829155,-73.93728,POINT (-73.93728 40.829155),WEST 155 STREET                 ,,,Unspecified,,,,,4198848,Station Wagon/Sport Utility Vehicle
